15:19:38  CPU mode
15:19:38  ============================================================
15:19:38  AVE FULL PIPELINE
15:19:38  ============================================================
15:19:38  
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  STAGE 1 — FEATURE EXTRACTION
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  Unique videos   : 4097
15:19:38  Already done    : 0
15:19:38  To extract      : 4097
15:19:38  Loading VGGish ...
15:20:53  VGGish ready.
15:20:53  Loading R(2+1)D-18 ...
15:21:31  R(2+1)D ready.
15:21:38    [   1/4097] c---zaDCTaE  7.5s  ETA 509 min
15:21:40    [   2/4097] fCZi6I6kPpU  2.0s  ETA 323 min
15:21:42    [   3/4097] EV1bVf8Bldk  2.0s  ETA 260 min
15:21:44    [   4/4097] OXvrQ0XIAeM  1.9s  ETA 227 min
15:21:46    [   5/4097] DxQmMOIMRt0  2.1s  ETA 210 min
15:21:49    [   6/4097] lDo2BlqTNhs  2.9s  ETA 208 min
15:21:52    [   7/4097] rqkPh5iYujg  2.8s  ETA 205 min
15:21:53    [   8/4097] WBdWZGDIQ5E  1.4s  ETA 191 min
15:21:55    [   9/4097] bzWIuMC8Vl8  1.6s  ETA 182 min
15:21:56    [  10/4097] qRUirWhTreY  1.5s  ETA 174 min
15:21:58    [  11/4097] 8H9eDAVMtMc  1.7s  ETA 169 min
15:22:00    [  12/4097] qFh2hzDKpOQ  1.7s  ETA 164 min
15:22:02    [  13/4097] 5wHd0VafUAA  2.2s  ETA 163 min
15:22:06    [  14/4097] tEx2DyBtFuk  3.6s  ETA 169 min
15:22:09    [  15/4097] 5mBCF05DV5s  3.2s  ETA 172 min
15:22:10    [  16/4097] PBNiUVkJn9U  1.6s  ETA 168 min
15:22:12    [  17/4097] 2wrDhwN-NvQ  1.9s  ETA 166 min
15:22:16    [  18/4097] TKd9459xiBk  3.4s  ETA 169 min
15:22:17    [  19/4097] dnGW30q_7IA  1.2s  ETA 165 min
15:22:19    [  20/4097] mywvRrNg2IE  2.5s  ETA 165 min
15:22:21    [  21/4097] k9QU0rLvu70  1.2s  ETA 161 min
15:22:22    [  22/4097] BypBw80i7GA  1.4s  ETA 158 min
15:22:23    [  23/4097] F9zSHQFLLOg  1.3s  ETA 155 min
15:22:28    [  24/4097] 5hGZVNAzZ1U  4.2s  ETA 160 min
15:22:29    [  25/4097] 0FBFWPKJNIU  1.0s  ETA 156 min
15:22:32    [  26/4097] _QQP43H56TA  3.4s  ETA 159 min
15:22:33    [  27/4097] 8-b-6bZ2q18  1.2s  ETA 156 min
15:22:35    [  28/4097] EMENiImb_1Y  2.0s  ETA 155 min
15:22:37    [  29/4097] FBNg2jl_K7c  1.7s  ETA 154 min
15:22:38    [  30/4097] Ttqaq9OhRZ4  1.7s  ETA 153 min
15:22:43    [  31/4097] sHeesHmUoIo  4.4s  ETA 157 min
15:22:46    [  32/4097] b6nkPmL55po  2.9s  ETA 158 min
15:22:49    [  33/4097] ChHA4I5DWVo  3.4s  ETA 161 min
15:22:50    [  34/4097] howjD-RiwKA  1.3s  ETA 158 min
15:22:52    [  35/4097] NwfdXxNB6zs  1.9s  ETA 157 min
15:22:54    [  36/4097] 5UAwQRotU9Q  1.6s  ETA 156 min
15:22:56    [  37/4097] ljRo59Lb71I  2.2s  ETA 156 min
15:22:57    [  38/4097] i7LbVHMrs_8  1.5s  ETA 154 min
15:22:59    [  39/4097] RUQfqCEo734  1.2s  ETA 152 min
15:23:00    [  40/4097] HtT13EI1_tA  1.8s  ETA 151 min
15:23:02    [  41/4097] N_bL5F7K9IA  1.3s  ETA 150 min
15:23:03    [  42/4097] iMBjRWoBkoI  1.1s  ETA 148 min
15:23:05    [  43/4097] NlNaUpYSagQ  1.9s  ETA 147 min
15:23:06    [  44/4097] utIXg-Dp2Yg  1.7s  ETA 147 min
15:23:09    [  45/4097] F70PNukSzMw  2.8s  ETA 148 min
15:23:12    [  46/4097] mkijyf_P1Wo  2.3s  ETA 148 min
15:23:17    [  47/4097] iAendlwoWYU  5.2s  ETA 152 min
15:23:18    [  48/4097] TTYevyM_tUw  1.5s  ETA 151 min
15:23:19    [  49/4097] vX8BvVKMfqc  0.9s  ETA 149 min
15:23:21    [  50/4097] e-MkVbRmlIo  1.6s  ETA 148 min
15:23:23    [  51/4097] g0DAdD46HB0  2.2s  ETA 148 min
15:23:24    [  52/4097] mgsi5Glqi7g  1.4s  ETA 147 min
15:23:27    [  53/4097] B1tbHqjK434  3.1s  ETA 148 min
15:23:30    [  54/4097] -mlWcker_3o  2.8s  ETA 149 min
15:23:32    [  55/4097] ah-Z4NPR1v0  1.8s  ETA 148 min
15:23:34    [  56/4097] kPsni0gM26A  1.7s  ETA 148 min
15:23:35    [  57/4097] 235CwPMzBUU  1.5s  ETA 147 min
15:23:38    [  58/4097] Wlx6cREoAo4  3.0s  ETA 148 min
15:23:41    [  59/4097] gxI_VHCV6qM  3.2s  ETA 149 min
15:23:43    [  60/4097] Dzb1TlmWmYM  1.8s  ETA 148 min
15:23:45    [  61/4097] WM5R44UMLq0  2.0s  ETA 148 min
15:23:47    [  62/4097] iHCnXCi1-Xg  1.7s  ETA 147 min
15:23:50    [  63/4097] Xq5oTX4-Hnc  3.5s  ETA 149 min
15:23:52    [  64/4097] VWi2ENBuTbw  1.9s  ETA 148 min
15:23:55    [  65/4097] RUhOCu3LNXM  2.5s  ETA 149 min
15:23:56    [  66/4097] nRKU5Ns6cnU  1.1s  ETA 148 min
15:23:57    [  67/4097] AiJTCFtN0BY  1.1s  ETA 146 min
15:23:59    [  68/4097] l0QJ30VXvGA  1.7s  ETA 146 min
15:24:01    [  69/4097] 0A0xlHVADkw  2.2s  ETA 146 min
15:24:03    [  70/4097] aMqrOEG5AxE  1.9s  ETA 146 min
15:24:04    [  71/4097] 4vjDR_uDA-Q  1.4s  ETA 145 min
15:24:06    [  72/4097] FMlIzLuIGzw  1.6s  ETA 144 min
15:24:08    [  73/4097] Puo5cNcwawA  2.0s  ETA 144 min
15:24:09    [  74/4097] LV4ueNAZVrM  1.5s  ETA 144 min
15:24:10    [  75/4097] 4c0uLxgFiVc  1.0s  ETA 142 min
15:24:15    [  76/4097] WW8Scmk5YsM  5.1s  ETA 145 min
15:24:19    [  77/4097] 4akybxlJ67I  3.5s  ETA 146 min
15:24:21    [  78/4097] LZYidtJoWO8  2.1s  ETA 146 min
15:24:23    [  79/4097] LVfwQqtcSfw  1.7s  ETA 146 min
15:24:24    [  80/4097] pkdMwCqjtzw  1.6s  ETA 145 min
15:24:29    [  81/4097] eLJ-1bzHleU  4.7s  ETA 147 min
15:24:33    [  82/4097] gtqH0ghizQo  4.2s  ETA 149 min
15:24:35    [  83/4097] v-fC_-v8gj0  1.8s  ETA 148 min
15:24:36    [  84/4097] 1mOHH9xPSRI  1.4s  ETA 148 min
